Date,Row,Batch,Variety,Total kg,Saleable kg,Samples kg,BRIX,TA,BRIX/TA,Total kg (Grade B),Causes (Grade B),Total kg (cull),Causes (cull)
4/18/2023,5,9,HH,0.97,0.755,,,,,0.215,,,
4/18/2023,6,9,HH,1.655,1.51,,,,,0.145,,,
4/18/2023,11,7,HH,0.66,0.44,,,,,0.22,,,
4/18/2023,8,9,HH,0.89,0.68,,,,,0.21,,,
4/18/2023,10,7,HH,1.315,1.115,,,,,0.2,,,
4/18/2023,7,9,HH,1.82,1.55,,,,,0.27,,,
4/18/2023,9,7,HH,1.29,1.055,,,,,0.235,,,
4/20/2023,28,8,JUK,0.84,0.79,,,,,0.05,,,
4/20/2023,35,6,JUK,1.095,0.96,,,,,0.135,,,
4/20/2023,29,7,JUK,1.975,1.715,,,,,0.26,,,
4/20/2023,33,4,JUK,0.72,0.67,,,,,0.05,,,
4/20/2023,32,4,JUK,0.92,0.88,,,,,0.04,,,
4/20/2023,31,3,JUK,0.42,0.405,,,,,0.015,,,
4/20/2023,30,2,JUK,0.275,0.275,,,,,,,,
4/20/2023,34,5,JUK,0.985,0.825,,,,,0.16,,,
4/20/2023,27,,MER,0.215,0.005,,,,,0.21,,,
4/20/2023,26,5,MER,0.075,0.055,,,,,0.02,,,
4/20/2023,25,4,MER,0.235,0.155,,,,,0.08,,,
4/20/2023,23,2,MER,0.255,0.165,,,,,0.09,,,
4/20/2023,24,,MER,0.345,0.344,,,,,0.001,,,
4/20/2023,21,7,MER,0.485,0.21,,,,,0.275,,,
4/20/2023,20,6,MER,0.495,0.305,,,,,0.19,,,
4/20/2023,22,8,MER,0.73,0.33,,,,,0.4,,,
4/20/2023,14,8,HH,0.705,0.395,,,,,0.31,,,
4/20/2023,12,8,HH,0.3,0.15,,,,,0.15,,,
4/20/2023,13,8,HH,0.31,0.185,,,,,0.125,,,
4/20/2023,10,7,HH,0.54,0.21,,,,,0.33,,,
4/20/2023,11,7,HH,0.36,0.235,,,,,0.125,,,
4/20/2023,9,7,HH,1.065,0.585,,,,,0.48,,,
4/20/2023,7,9,HH,0.625,0.43,,,,,0.195,,,
4/20/2023,8,9,HH,0.825,0.45,,,,,0.375,,,
4/20/2023,6,9,HH,0.83,0.81,,,,,0.02,,,
4/20/2023,5,9,HH,0.525,0.335,,,,,0.19,,,
4/24/2023,35,6,JUK,3.615,3.43,,,,,0.185,,,
4/24/2023,34,5,JUK,2.505,2.27,,,,,0.235,,,
4/24/2023,32,4,JUK,2.375,2.005,,,,,0.37,,,
4/24/2023,33,,JUK,1.11,0.955,,,,,0.155,,,
4/24/2023,28,8,JUK,1.67,1.53,,,,,0.14,,,
4/24/2023,30,2,JUK,0.875,0.775,,,,,0.1,,,
4/24/2023,29,7,JUK,4.87,4.56,,,,,0.31,,,
4/24/2023,26,4,MER,0.36,0.165,,,,,0.195,,,
4/24/2023,25,4,MER,0.935,0.465,,,,,0.47,,,
4/24/2023,27,,MER,0.595,0.265,,,,,0.33,,,
4/24/2023,24,3,MER,1.13,0.68,,,,,0.45,,,
4/24/2023,20,6,MER,1.6,0.8,,,,,0.8,,,
4/24/2023,21,7,MER,1.51,0.59,,,,,0.92,,,
4/24/2023,22,8,MER,2.645,1.745,,,,,0.9,,,
4/24/2023,23,,MER,1.225,0.475,,,,,0.75,,,
4/24/2023,14,8,HH,1.13,0.752,,,,,0.378,,,
4/24/2023,13,8,HH,0.535,0.358,,,,,0.177,,,
4/24/2023,12,8,HH,0.915,0.535,,,,,0.38,,,
4/24/2023,11,7,HH,1.335,1.15,,,,,0.185,,,
4/24/2023,10,7,HH,0.625,0.431,,,,,0.194,,,
4/24/2023,9,7,HH,0.965,0.649,,,,,0.316,,,
4/24/2023,8,9,HH,1.595,1.06,,,,,0.535,,,
4/24/2023,7,9,HH,0.845,0.585,,,,,0.26,,,
4/24/2023,6,9,HH,1.075,0.762,,,,,0.313,,,
4/24/2023,5,9,HH,1.035,0.785,,,,,0.25,,,
4/27/2023,35,6,JUK,2.303,2.275,,,,,0.028,,,
4/27/2023,31,3,JUK,1.28,1.19,,,,,0.09,,,
4/27/2023,34,5,JUK,1.91,1.72,,,,,0.19,,,
4/27/2023,30,2,JUK,0.31,0.265,,,,,0.045,,,
4/27/2023,33,4,JUK,1.46,1.045,,,,,0.415,,,
4/27/2023,29,7,JUK,1.855,1.74,,,,,0.115,,,
4/27/2023,32,4,JUK,1.92,1.745,,,,,0.175,,,
4/27/2023,27,4,MER,0.625,0.285,,,,,0.34,,,
4/27/2023,28,8,JUK,1.92,1.765,,,,,0.155,,,
4/27/2023,26,4,MER,0.34,0.09,,,,,0.25,,,
4/27/2023,24,3,MER,1.015,0.405,,,,,0.61,,,
4/27/2023,20,6,MER,1.07,0.76,,,,,0.31,,,
4/27/2023,21,,MER,0.855,0.305,,,,,0.55,,,
4/27/2023,25,4,MER,0.655,0.305,,,,,0.35,,,
4/27/2023,23,2,MER,0.975,0.235,,,,,0.74,,,
4/27/2023,22,,MER,1.9,1.42,,,,,0.48,,,
4/27/2023,19,9,MER,0.19,0.13,,,,,0.06,,,
4/27/2023,18,9,MER,0.6,0.5,,,,,0.1,,,
4/27/2023,13,8,HH,0.825,0.791,,,,,0.034,,,
4/27/2023,14,,HH,1.455,1.015,,,,,0.44,,,
4/27/2023,12,8,HH,0.815,0.495,,,,,0.32,,,
4/27/2023,10,7,HH,0.6,0.22,,,,,0.38,,,
4/27/2023,11,7,HH,1.075,0.735,,,,,0.34,,,
4/27/2023,9,7,HH,0.755,0.49,,,,,0.265,,,
4/27/2023,7,9,HH,1.015,0.81,,,,,0.205,,,
4/27/2023,8,,HH,1.46,1.05,,,,,0.41,,,
4/27/2023,6,9,HH,0.895,0.51,,,,,0.385,,,
4/27/2023,5,,HH,1.09,0.77,,,,,0.32,,,
5/1/2023,35,6,JUK,3.125,2.965,,,,,0.16,,,
5/1/2023,28,8,JUK,1.94,1.805,,,,,0.135,,,
5/1/2023,34,5,JUK,1.615,1.385,,,,,0.23,,,
5/1/2023,29,7,JUK,2.205,1.855,,,,,0.35,,,
5/1/2023,30,2,JUK,0.71,0.57,,,,,0.14,,,
5/1/2023,31,3,JUK,0.965,0.8,,,,,0.165,,,
5/1/2023,33,4,JUK,1.33,0.99,,,,,0.34,,,
5/1/2023,32,,JUK,2.1,1.8,,,,,0.3,,,
5/1/2023,27,,MER,0.9,0.61,,,,,0.29,,,
5/1/2023,26,4,MER,0.86,0.34,,,,,0.52,,,
5/1/2023,24,3,MER,1.77,0.86,,,,,0.91,,,
5/1/2023,20,,MER,1.8,1.1,,,,,0.7,,,
5/1/2023,25,,MER,1.3,0.59,,,,,0.71,,,
5/1/2023,23,2,MER,1.065,0.325,,,,,0.74,,,
5/1/2023,19,9,MER,0.74,0.44,,,,,0.3,,,
5/1/2023,21,,MER,1.1,-53.9,,,,,55,,,
5/1/2023,22,8,MER,1.115,0.615,,,,,0.5,,,
5/1/2023,18,9,MER,1.27,0.87,,,,,0.4,,,
5/1/2023,14,8,HH,2.285,1.685,,,,,0.6,,,
5/1/2023,13,8,HH,0.955,0.735,,,,,0.22,,,
5/1/2023,19,11,JUK,0.078,0.078,,,,,,,,
5/1/2023,17,10,MER,0.06,0.06,,,,,,,,
5/1/2023,17,11,HH,0.065,0.065,,,,,,,,
5/1/2023,12,8,HH,1.375,0.965,,,,,0.41,,,
5/1/2023,11,7,HH,1.095,0.87,,,,,0.225,,,
5/1/2023,10,7,HH,0.78,0.55,,,,,0.23,,,
5/1/2023,5,,HH,1.745,1.265,,,,,0.48,,,
5/1/2023,8,9,HH,2.205,1.745,,,,,0.46,,,
5/1/2023,9,7,HH,1.45,1.11,,,,,0.34,,,
5/1/2023,7,9,HH,1.82,1.44,,,,,0.38,,,
5/1/2023,6,9,HH,2.5,1.8,,,,,0.7,,,
5/4/2023,35,6,JUK,2.79,2.595,,,,,0.195,,,
5/4/2023,34,5,JUK,1.47,1.395,,,,,0.075,,,
5/4/2023,32,4,JUK,1.875,1.395,,,,,0.48,,,
5/4/2023,33,,JUK,1.23,1.04,,,,,0.19,,,
5/4/2023,31,3,JUK,0.945,0.915,,,,,0.03,,,
